Product Name,Sizes,Sizes Group,Sizes Group Count
לוח מחיק (18*28) חדש,one size,700455345798571475,877
לגו מתכת קופסא בדיספליי,one size,700455345798571475,877
לגו הרכבה זוגי,one size,700455345798571475,877
כלי עבודה לוח בנוני,one size,700455345798571475,877
כלי מטבח כסף,one size,700455345798571475,877
כדורסל גודל 5 צבעוני,one size,700455345798571475,877
כדורסל איכותי ביותר! דמויות,one size,700455345798571475,877
כדורגל איכותי משושים,one size,700455345798571475,877
כדורגל איכותי מיקס צבעים,one size,700455345798571475,877
"כדור ענבים גודל 5ס""מ",one size,700455345798571475,877
כדור כוח עם גומי,one size,700455345798571475,877
כדור יד 100 גרם,one size,700455345798571475,877
יצירה צבעים שפורפרת קופסא,one size,700455345798571475,877
יצירה ממותג (25מדב+24דפי ציור+צבעים) מיקס 2,one size,700455345798571475,877
יצירה ממותג (25מדב+24דפי ציור+צבעים) מיקס,one size,700455345798571475,877
יצירה גירוד דובי לבבות,one size,700455345798571475,877
יצירה טושים פוני ממותג,one size,700455345798571475,877
יומולדת כיסוי יומולדת שמח לכיסא,one size,700455345798571475,877
יומולדת כרזה נפתחת,one size,700455345798571475,877
יומולדת סרט קישוט משולש סמיילי,one size,700455345798571475,877
חניון מעץ קופסא,one size,700455345798571475,877
חניון לוחמי אש קופסא,one size,700455345798571475,877
חיות קפסולה (חיות פרא) גודל במים,one size,700455345798571475,877
חיות קפסולה (חיות אוקיינוס) גודל במים,one size,700455345798571475,877
חיות קפסולה (חד קרן) גודל במים,one size,700455345798571475,877
חיות קפסולה (דינוזאורים) גודל במים,one size,700455345798571475,877
חבל קפיצה מונה,one size,700455345798571475,877
זוג קלפים + קוביות,one size,700455345798571475,877
בקבוק חלב בינוני לתינוק,one size,700455345798571475,877
בצק קליי צבעוני קרטיב קופסא,one size,700455345798571475,877
בצק קליי צבעוני עוגות קופסא,one size,700455345798571475,877
בצק קליי צבעוני מיקס קופסא,one size,700455345798571475,877
בצק לושלוש סט 12 יח' שקית,one size,700455345798571475,877
בלון ניפוח עצמי עוגה עם לב,one size,700455345798571475,877
בלון ניפוח עצמי HAPPY BIRTHDAY,one size,700455345798571475,877
בלון ניפוח (שפתיים) עצמי,one size,700455345798571475,877
בלון ניפוח (ערכת פארטי) עצמי,one size,700455345798571475,877
בלון ניפוח (כדורגל) עצמי,one size,700455345798571475,877
בלון ניפוח (יומולדת מלך/מלכה) עצמי,one size,700455345798571475,877
בלון ניפוח (חיות מיקס) עצמי,one size,700455345798571475,877
בלון ניפוח (הולדת בן/בת) עצמי,one size,700455345798571475,877
בלון ניפוח (בקבוק שמפניה) עצמי,one size,700455345798571475,877
בלון ניפוח (חתונות) עצמי,one size,700455345798571475,877
בלון ניפוח (הולדת הבן/בת דגם פפיון) עצמי,one size,700455345798571475,877
בלון ניפוח (I LOVE YOU ) עצמי,one size,700455345798571475,877
בלון ניפוח (HAPPY BIRTHDATׂ) עצמי מיקס דוגמאות,one size,700455345798571475,877
בלון ניפוח (כדורסל) עצמי,one size,700455345798571475,877
תיק קירור קטן,one size,700455345798571475,877
תיק קירור גדול,one size,700455345798571475,877
"תותח מים איכותי 42 ס""מ חדש",one size,700455345798571475,877
"תותח מים 67 ס""מ ענקקק מטורף",one size,700455345798571475,877
"תותח מים 56ס""מ",one size,700455345798571475,877
"תותח מים 49 ס""מ",one size,700455345798571475,877
"תותח מים 50 ס""מ",one size,700455345798571475,877
"תותח מים 48 ס""מ גדול",one size,700455345798571475,877
"תותח מים 47 ס""מ פיויסי",one size,700455345798571475,877
"תותח מים 2 צבעים 45 ס""מ",one size,700455345798571475,877
"תותח מים 47 ס""מ גדול",one size,700455345798571475,877
רובה מים+מנשא גב מטרה PUBG,one size,700455345798571475,877
רובה מים שמש,one size,700455345798571475,877
רובה מים בצורת סוס,one size,700455345798571475,877
רובה מים חד קרן,one size,700455345798571475,877
רובה מים בצורת דינוזאור,one size,700455345798571475,877
עפיפון חדש ענק,one size,700455345798571475,877
עפיפון צבעוני בינוני,one size,700455345798571475,877
משקפת ים דגם חיות,one size,700455345798571475,877
משקפת צלילה+שנורקל,one size,700455345798571475,877
משחק מטקות קשתות,one size,700455345798571475,877
משחק מטקות עץ עבה,one size,700455345798571475,877
משחק מטקות ספוג דובי,one size,700455345798571475,877
משחק מטקות ספוג אריה,one size,700455345798571475,877
משחק מטקות חדש,one size,700455345798571475,877
משחק מטקות פלסטיק,one size,700455345798571475,877
משחק בייסבול אלה,one size,700455345798571475,877
משחק גוגו רשת חדש,one size,700455345798571475,877
מזרק מים דיספליי ענק,one size,700455345798571475,877
מזרק מים מגרפה ענק,one size,700455345798571475,877
מזרק מים דו ראשי,one size,700455345798571475,877
